id,date,type,category,amount,payment_method,recurring
1,2020-01-18,Income,Internet,1124.92,Credit Card,1
2,2020-06-20,Expense,Phone,411.2373474316,Other,0
3,2020-04-19,Income,Gifts/Donations,1484.973,Debit Card,0
4,2020-10-29,Expense,Rent/Mortgage,3456.96481,Debit Card,1
5,2020-06-19,Expense,Shopping,11.1,Cash,1
6,2020-12-29,Income,Utilities,1276.56,Cash,0
7,2020-06-25,Income,Transportation,308.59942,Debit Card,1
8,2020-11-15,Income,Education,1004.891929,Other,1
9,2020-11-01,Expense,Transportation,3209.94772,Bank Transfer,0
10,2020-08-30,Income,Education,4672.7,Credit Card,1
11,2020-05-03,Income,Dining Out,2489.3,Bank Transfer,1
12,2020-10-01,Income,Gifts/Donations,1392.95411347,Cash,1
13,2020-08-18,Income,Entertainment,371.44080429,Other,1
14,2020-07-01,Expense,Healthcare,1258.5778498,Bank Transfer,0
15,2020-01-30,Income,Healthcare,3991.4,Credit Card,0
16,2020-09-28,Income,Internet,2047.1558478303,Other,1
17,2020-11-06,Income,Gifts/Donations,55.783011,Credit Card,1
18,2020-06-14,Income,Phone,1403.4508,Bank Transfer,0
19,2020-11-17,Expense,Rent/Mortgage,4171.60117687,Credit Card,1
20,2020-04-30,Income,Dining Out,2185.86005,Other,0
21,2020-10-17,Expense,Internet,4501.89,Debit Card,1
22,2020-11-08,Income,Subscriptions,1376.5393,Debit Card,0
23,2020-09-23,Income,Entertainment,386.6208737614,Credit Card,1
24,2020-03-08,Expense,Debt Repayment,2754.9,Bank Transfer,1
25,2020-12-13,Income,Groceries,3491.6641,Cash,0
26,2020-03-26,Income,Debt Repayment,761.3,Debit Card,0
27,2020-01-14,Expense,Phone,4280.97,Bank Transfer,0
28,2020-01-01,Income,Subscriptions,1892.369299073,Bank Transfer,0
29,2020-03-05,Income,Childcare,1872.677433273,Other,0
30,2020-06-06,Income,Gifts/Donations,193.86,Credit Card,1
